State,Sector,Claim_Type,Confidence_Score,If_predict
HI,56,initial,0.719,True
HI,61,initial,0.921,True
HI,62,initial,0.405,True
HI,71,initial,0.381,True
HI,72,initial,0.402,True
HI,81,initial,0.519,True
HI,92,initial,0.943,True
ID,11,initial,,False
ID,21,initial,,False
ID,22,initial,,False
ID,23,initial,,False
ID,31,initial,,False
ID,42,initial,,False
ID,44,initial,,False
ID,48,initial,,False
ID,51,initial,,False
ID,52,initial,,False
ID,53,initial,,False
ID,54,initial,,False
ID,56,initial,,False
ID,61,initial,,False
ID,62,initial,,False
ID,71,initial,,False
ID,72,initial,,False
ID,81,initial,,False
ID,92,initial,,False
IL,11,initial,0.407,True
IL,21,initial,0.571,True
IL,22,initial,0.293,True
IL,23,initial,0.269,True
IL,31,initial,0.632,True
IL,42,initial,0.679,True
IL,44,initial,0.608,True
IL,48,initial,0.89,True
IL,51,initial,0.853,True
IL,52,initial,0.916,True
IL,53,initial,0.655,True
IL,54,initial,0.434,True
IL,56,initial,0.341,True
IL,61,initial,0.785,True
IL,62,initial,0.358,True
IL,71,initial,0.254,True
IL,72,initial,0.739,True
IL,81,initial,0.337,True
IL,92,initial,0.686,True
IN,11,initial,,False
IN,21,initial,,False
IN,22,initial,,False
IN,23,initial,,False
IN,31,initial,,False
IN,42,initial,,False
IN,44,initial,,False
IN,48,initial,,False
IN,51,initial,,False
IN,52,initial,,False
IN,53,initial,,False
IN,54,initial,,False
IN,56,initial,,False
IN,61,initial,,False
IN,62,initial,,False
IN,71,initial,,False
IN,72,initial,,False
IN,81,initial,,False
IN,92,initial,,False
IA,11,initial,0.391,True
IA,21,initial,0.548,True
IA,22,initial,0.26,True
IA,23,initial,0.513,True
IA,31,initial,0.48,True
IA,42,initial,0.433,True
IA,44,initial,0.344,True
IA,48,initial,0.653,True
IA,51,initial,0.735,True
IA,52,initial,0.39,True
IA,53,initial,0.281,True
IA,54,initial,0.438,True
IA,56,initial,0.74,True
IA,61,initial,0.441,True
IA,62,initial,0.703,True
IA,71,initial,0.301,True
IA,72,initial,0.742,True
IA,81,initial,0.35,True
IA,92,initial,0.406,True
KS,11,initial,0.761,True
KS,21,initial,0.583,True
KS,22,initial,0.698,True
KS,23,initial,0.45,True
KS,31,initial,0.718,True
KS,42,initial,0.459,True
KS,44,initial,0.587,True
KS,48,initial,0.561,True
KS,51,initial,0.889,True
KS,52,initial,0.777,True
KS,53,initial,0.634,True
KS,54,initial,0.842,True
KS,56,initial,0.677,True
KS,61,initial,0.757,True
KS,62,initial,0.613,True
KS,71,initial,0.653,True
KS,72,initial,0.4,True
KS,81,initial,0.902,True
KS,92,initial,0.697,True
KY,11,initial,0.824,True
KY,21,initial,0.674,True
KY,22,initial,0.267,True
KY,23,initial,0.326,True
KY,31,initial,0.867,True
KY,42,initial,0.74,True
KY,44,initial,0.883,True
KY,48,initial,0.875,True
KY,51,initial,0.412,True
KY,52,initial,0.94,True
KY,53,initial,0.677,True
KY,54,initial,0.761,True
KY,56,initial,0.612,True
KY,61,initial,0.429,True
KY,62,initial,0.59,True
KY,71,initial,0.573,True
KY,72,initial,0.458,True
KY,81,initial,0.489,True
KY,92,initial,0.56,True
LA,11,initial,0.437,True
LA,21,initial,0.348,True
LA,22,initial,0.813,True
LA,23,initial,0.501,True
LA,31,initial,0.505,True
LA,42,initial,0.798,True
LA,44,initial,0.739,True
LA,48,initial,0.563,True
LA,51,initial,0.467,True
LA,52,initial,0.807,True
LA,53,initial,0.416,True
LA,54,initial,0.574,True
LA,56,initial,0.512,True
LA,61,initial,0.946,True
LA,62,initial,0.418,True
LA,71,initial,0.665,True
LA,72,initial,0.619,True
LA,81,initial,0.284,True
LA,92,initial,0.377,True
ME,11,initial,0.87,True
ME,21,initial,0.802,True
ME,22,initial,0.399,True
ME,23,initial,0.375,True
ME,31,initial,0.907,True
ME,42,initial,0.662,True
ME,44,initial,0.751,True
ME,48,initial,0.885,True
ME,51,initial,0.433,True
ME,52,initial,0.6,True
ME,53,initial,0.89,True
ME,54,initial,0.38,True
ME,56,initial,0.428,True
ME,61,initial,0.867,True
ME,62,initial,0.839,True
ME,71,initial,0.611,True
ME,72,initial,0.344,True
ME,81,initial,0.833,True
ME,92,initial,0.466,True
MD,11,initial,0.78,True
MD,21,initial,0.428,True
MD,22,initial,0.358,True
MD,23,initial,0.735,True
MD,31,initial,0.525,True
MD,42,initial,0.513,True
MD,44,initial,0.557,True
MD,48,initial,0.571,True
MD,51,initial,0.58,True
MD,52,initial,0.704,True
MD,53,initial,0.325,True
MD,54,initial,0.723,True
